model;avg_blanc_score;avg_std
pr_ns2_l0.8_bw0.0_pw0.6_pg10_umTrue_modSentenceTransformer;0.16613225032436;0.05136888809633617
pr_ns2_l0.8_bw0.0_pw0.6_pg10_umFalse_modNone;0.13654039976698845;0.037986886371423556
pr_ns2_l0.8_bw0.0_pw0.6_pg10_umFalse_modSentenceTransformer;0.16613225032436;0.05136888809633617
pr_ns2_l0.8_bw0.6_pw0.0_pgNone_umTrue_modNone;0.13647629140676132;0.048365168665312715
pr_ns2_l0.8_bw0.6_pw0.0_pgNone_umTrue_modSentenceTransformer;0.16657480956750856;0.03940166401577761
pr_ns2_l0.8_bw0.6_pw0.0_pgNone_umFalse_modNone;0.13647629140676132;0.048365168665312715
pr_ns2_l0.8_bw0.6_pw0.0_pgNone_umFalse_modSentenceTransformer;0.16657480956750856;0.03940166401577761
pr_ns2_l0.8_bw0.6_pw0.0_pg10_umTrue_modNone;0.13647629140676132;0.048365168665312715
pr_ns2_l0.8_bw0.6_pw0.0_pg10_umTrue_modSentenceTransformer;0.16657480956750856;0.03940166401577761
pr_ns2_l0.8_bw0.6_pw0.0_pg10_umFalse_modNone;0.13647629140676132;0.048365168665312715
pr_ns2_l0.8_bw0.6_pw0.0_pg10_umFalse_modSentenceTransformer;0.16657480956750856;0.03940166401577761
pr_ns2_l0.8_bw0.6_pw0.6_pgNone_umTrue_modNone;0.13626074850119746;0.035096435196776236
pr_ns2_l0.8_bw0.6_pw0.6_pgNone_umTrue_modSentenceTransformer;0.16375243119061414;0.04939134989093859
pr_ns2_l0.8_bw0.6_pw0.6_pgNone_umFalse_modNone;0.13626074850119746;0.035096435196776236
pr_ns2_l0.8_bw0.6_pw0.6_pgNone_umFalse_modSentenceTransformer;0.16375243119061414;0.04939134989093859
pr_ns2_l0.8_bw0.6_pw0.6_pg10_umTrue_modNone;0.13626074850119746;0.035096435196776236
pr_ns2_l0.8_bw0.6_pw0.6_pg10_umTrue_modSentenceTransformer;0.16375243119061414;0.04939134989093859
pr_ns2_l0.8_bw0.6_pw0.6_pg10_umFalse_modNone;0.13626074850119746;0.035096435196776236
pr_ns2_l0.8_bw0.6_pw0.6_pg10_umFalse_modSentenceTransformer;0.16375243119061414;0.04939134989093859
pr_ns5_l0.4_bw0.0_pw0.0_pgNone_umTrue_modNone;0.24692765051196047;0.06753020827964276
pr_ns5_l0.4_bw0.0_pw0.0_pgNone_umTrue_modSentenceTransformer;0.26706144111866764;0.06306525099143566
pr_ns5_l0.4_bw0.0_pw0.0_pgNone_umFalse_modNone;0.24692765051196047;0.06753020827964276
pr_ns5_l0.4_bw0.0_pw0.0_pgNone_umFalse_modSentenceTransformer;0.26706144111866764;0.06306525099143566
pr_ns5_l0.4_bw0.0_pw0.0_pg10_umTrue_modNone;0.24692765051196047;0.06753020827964276
pr_ns5_l0.4_bw0.0_pw0.0_pg10_umTrue_modSentenceTransformer;0.26706144111866764;0.06306525099143566
pr_ns5_l0.4_bw0.0_pw0.0_pg10_umFalse_modNone;0.24692765051196047;0.06753020827964276
pr_ns5_l0.4_bw0.0_pw0.0_pg10_umFalse_modSentenceTransformer;0.26706144111866764;0.06306525099143566
pr_ns5_l0.4_bw0.0_pw0.6_pgNone_umTrue_modNone;0.2812519758869129;0.07283171943398577
pr_ns5_l0.4_bw0.0_pw0.6_pgNone_umTrue_modSentenceTransformer;0.2616217310439382;0.07208164065817385
pr_ns5_l0.4_bw0.0_pw0.6_pgNone_umFalse_modNone;0.2812519758869129;0.07283171943398577
pr_ns5_l0.4_bw0.0_pw0.6_pgNone_umFalse_modSentenceTransformer;0.2616217310439382;0.07208164065817385
pr_ns5_l0.4_bw0.0_pw0.6_pg10_umTrue_modNone;0.2812519758869129;0.07283171943398577
pr_ns5_l0.4_bw0.0_pw0.6_pg10_umTrue_modSentenceTransformer;0.2616217310439382;0.07208164065817385
