model,rouge1_f,rouge2_f,rougeL_f
pager_summary_ns2_bw0.0_pw0.0_l0.8_pgNone_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.0_pw0.0_l0.2_pg10_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.0_pw0.0_l0.8_pg10_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.0_pw0.0_l0.2_pgNone_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.0_pw0.6_l0.2_pgNone_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.0_pw0.6_l0.2_pg10_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.0_pw0.6_l0.8_pgNone_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.6_pw0.6_l0.8_pgNone_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.6_pw0.0_l0.2_pgNone_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.0_pw0.6_l0.8_pg10_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.6_pw0.0_l0.2_pg10_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.6_pw0.6_l0.8_pg10_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.6_pw0.0_l0.8_pgNone_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.6_pw0.0_l0.8_pg10_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.6_pw0.6_l0.2_pg10_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.6_pw0.6_l0.2_pgNone_modNone_umFalse,0.19654199999999988,0.03982199999999999,0.11902399999999995
pager_summary_ns2_bw0.6_pw0.0_l0.2_pgNone_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.0_pw0.0_l0.8_pgNone_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.6_pw0.6_l0.2_pg10_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.0_pw0.0_l0.2_pgNone_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.6_pw0.6_l0.8_pg10_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.0_pw0.0_l0.2_pg10_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.6_pw0.6_l0.2_pgNone_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.0_pw0.0_l0.8_pg10_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.0_pw0.6_l0.8_pg10_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.6_pw0.0_l0.8_pg10_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.6_pw0.0_l0.8_pgNone_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.0_pw0.6_l0.2_pgNone_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.0_pw0.6_l0.2_pg10_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.6_pw0.0_l0.2_pg10_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.0_pw0.6_l0.8_pgNone_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
pager_summary_ns2_bw0.6_pw0.6_l0.8_pgNone_modYes_umFalse,0.1932960000000001,0.03836199999999997,0.11816000000000004
lda_summary_ns2_bw0.0_pw0.0,0.17941200000000027,0.028761999999999975,0.11115600000000009
pager_summary_ns5_bw0.6_pw0.0_l0.2_pgNone_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.6_pw0.6_l0.2_pg10_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.0_pw0.0_l0.8_pg10_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.6_pw0.6_l0.2_pgNone_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.0_pw0.6_l0.2_pgNone_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.6_pw0.6_l0.8_pgNone_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.6_pw0.0_l0.8_pg10_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.0_pw0.6_l0.2_pg10_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.0_pw0.0_l0.2_pg10_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.6_pw0.0_l0.8_pgNone_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
